,ten_truyen,duong_dan,luot_xem,xep_hang,danh_gia,theo_doi,binh_luan,tap_moi
140,VUA CỦA NHỮNG CHIẾN BINH GAIDAN: NGUỒN GỐC CỦA NGỌN LỬA,https://www.nettruyenin.com/truyen-tranh/vua-cua-nhung-chien-binh-gaidan-nguon-goc-cua-ngon-lua-67603,3.743,3.5,4,215,12,Chapter 1.6
141,MỘT THỢ SĂN NHANH NHẸN Ở HOKKAIDO BỊ NÉM VÀO MỘT THẾ GIỚI KHÁC,https://www.nettruyenin.com/truyen-tranh/mot-tho-san-nhanh-nhen-o-hokkaido-bi-nem-vao-mot-the-gioi-khac-371320,341.128,3.7,595,11.346,303,Chapter 6
142,FATE/GRAND ORDER: EPIC OF REMNANT - SE.RA.PH.,https://www.nettruyenin.com/truyen-tranh/fategrand-order-epic-of-remnant-seraph-211980,186.449,3.5,251,2.203,143,Chapter 27
143,VĂN PHÒNG CÔNG CHỨNG SAU KHI CHẾT,https://www.nettruyenin.com/truyen-tranh/van-phong-cong-chung-sau-khi-chet-240060,100.677,4,123,1.202,124,Chapter 10
144,THẤT NGHIỆP Ở TUỔI 34,https://www.nettruyenin.com/truyen-tranh/that-nghiep-o-tuoi-34-53340,16.748,4.2,34,378,8,Chapter 20
145,ÁC NỮ MỸ NHÂN SIÊU VÔ HẠI,https://www.nettruyenin.com/truyen-tranh/ac-nu-my-nhan-sieu-vo-hai-67910,23.260,3.5,62,2.331,42,Chapter 8
146,KHẢO NGHIỆM CUỐI CÙNG CỦA TRA NỮ,https://www.nettruyenin.com/truyen-tranh/khao-nghiem-cuoi-cung-cua-tra-nu-67909,140.829,3.7,211,4.016,95,Chapter 24
147,NAM THẦN AI CŨNG MUỐN LẤY TA,https://www.nettruyenin.com/truyen-tranh/nam-than-ai-cung-muon-lay-ta-67911,184.801,3.7,248,4.223,75,Chapter 32
148,ONE PAIR LADY,https://www.nettruyenin.com/truyen-tranh/one-pair-lady-678824,57.399,3.5,98,3.864,46,Chapter 13
149,KẺ PHẢN DIỆN ĐƯỢC GIA ĐÌNH TÔN SÙNG,https://www.nettruyenin.com/truyen-tranh/ke-phan-dien-duoc-gia-dinh-ton-sung-67871,65.512,3.5,123,4.300,65,Chapter 11
150,ĐẠI HOANG TỊCH TÀ TI,https://www.nettruyenin.com/truyen-tranh/dai-hoang-tich-ta-ti-62842,2.134.755,3.5,2672,39.222,4.361,Chapter 40
151,USAMI-SAN WA KAMAWARETAI!,https://www.nettruyenin.com/truyen-tranh/usami-san-wa-kamawaretai-296590,365.846,3.5,522,6.267,201,Chapter 31
152,"ĐỌC THẦN CHÚ LÊN ĐI, ROSE!",https://www.nettruyenin.com/truyen-tranh/doc-than-chu-len-di-rose-67838,41.357,3.5,83,2.722,49,Chapter 17
153,"TIÊU RỒI, LẠI BỊ BỆNH KIỀU ĐỂ MẮT ĐẾN!",https://www.nettruyenin.com/truyen-tranh/tieu-roi-lai-bi-benh-kieu-de-mat-den-550140,321.219,3.6,520,9.234,121,Chapter 32
154,LÃO BA CHO TÔI LỰA MỘT TRONG MƯỜI NỮ THẦN ĐỂ KẾT HÔN,https://www.nettruyenin.com/truyen-tranh/lao-ba-cho-toi-lua-mot-trong-muoi-nu-than-de-ket-hon-67152,543.298,3.5,790,15.269,1.391,Chapter 15
155,YÊU CHỊ GÁI THẰNG BẠN,https://www.nettruyenin.com/truyen-tranh/yeu-chi-gai-thang-ban-451200,465.767,4.1,632,8.554,506,Chapter 18
156,MỘT NGÀY CỦA TÔI CÓ 48 GIỜ,https://www.nettruyenin.com/truyen-tranh/mot-ngay-cua-toi-co-48-gio-65503,162.987,3.5,266,7.544,262,Chapter 10
157,ISEKAI CHEAT SURVIVAL MESHI,https://www.nettruyenin.com/truyen-tranh/isekai-cheat-survival-meshi-196830,1.244.640,3.5,1647,26.450,1.007,Chapter 37
158,"THẢNH THƠI THÚ THẾ CHỦNG CHỦNG ĐIỀN, SINH SINH TỂ",https://www.nettruyenin.com/truyen-tranh/thanh-thoi-thu-the-chung-chung-dien-sinh-sinh-te-214010,51.492.971,4.1,55814,103.713,7.018,Chapter 453
159,VUA TRỘM MỘ,https://www.nettruyenin.com/truyen-tranh/vua-trom-mo-239005,39.170.944,3.7,41905,82.541,8.705,Chapter 287
160,SHIROKUMA TENSEI,https://www.nettruyenin.com/truyen-tranh/shirokuma-tensei-174580,172.574,4.3,244,3.534,280,Chapter 8
161,LÀ HEALER NHƯNG LẠI CÓ MẶT TRÊN CHIẾN TRƯỜNG,https://www.nettruyenin.com/truyen-tranh/la-healer-nhung-lai-co-mat-tren-chien-truong-170360,4.149.865,3.7,4935,31.562,2.122,Chapter 45
162,THẾ GIỚI XA LẠ,https://www.nettruyenin.com/truyen-tranh/the-gioi-xa-la-278300,1.139.106,3.5,1314,10.637,421,Chapter 45
163,KOUSHAKU REIJOU NO TASHINAMI,https://www.nettruyenin.com/truyen-tranh/koushaku-reijou-no-tashinami-125530,1.212.697,3.8,1471,9.127,618,Chapter 43
164,"WAGAMAMA OUJO NI TSUKAETA BANNOUSHITSUJI, TONARI NO TEIKOKU DE SAIKYOU NO GUNJIN NI NARIAGARI MUSOUS",https://www.nettruyenin.com/truyen-tranh/wagamama-oujo-ni-tsukaeta-bannoushitsuji-tonari-no-teikoku-de-saikyou-no-gunjin-ni-nariagari-musous-61104,200.392,3.9,359,10.376,554,Chapter 6: Keg
165,LUÂN BÀN THẾ GIỚI,https://www.nettruyenin.com/truyen-tranh/luan-ban-the-gioi-61571,2.549.329,3.5,2952,25.723,1.236,Chapter 51
166,LÒNG TRUNG THÀNH VỚI KẺ ÁC,https://www.nettruyenin.com/truyen-tranh/long-trung-thanh-voi-ke-ac-544592,644.678,3.7,1016,22.736,366,Chapter 44
167,SUICIDE GIRL,https://www.nettruyenin.com/truyen-tranh/suicide-girl-62495,26.069,3.8,58,1.850,151,Chapter 3
168,THIÊN THẦN NGÀY TẬN THẾ,https://www.nettruyenin.com/truyen-tranh/thien-than-ngay-tan-the-45230,4.861.142,4.3,6232,26.726,3.057,Chapter 117: Quỷ và Quái vật
169,HÔN THÊ NHẠT NHẼO CỦA TÔI CHỈ ĐÁNG YÊU KHI Ở NHÀ,https://www.nettruyenin.com/truyen-tranh/hon-the-nhat-nheo-cua-toi-chi-dang-yeu-khi-o-nha-67787,22.418,3.5,68,2.326,93,Chapter 1
170,TỨ KỴ SĨ KHẢI HUYỀN,https://www.nettruyenin.com/truyen-tranh/tu-ky-si-khai-huyen-38414,638.381,3.8,746,7.240,451,Chapter 61
171,THÁM TỬ GIÀ VÀ CÔ TRỢ LÝ,https://www.nettruyenin.com/truyen-tranh/tham-tu-gia-va-co-tro-ly-16281,132.385,3.6,192,3.258,125,Chapter 20.5: Mashiro Và Trò Chơi Di Động
172,BẬC THẦY CHẾ TẠO MA THUẬT,https://www.nettruyenin.com/truyen-tranh/bac-thay-che-tao-ma-thuat-17137,1.428.767,3.7,1843,20.973,831,Chapter 28
173,MUỐN GIẢI CỨU THẾ GIỚI THÌ CẦN THẬT NHIỀU SỰ ĐÁNG YÊU,https://www.nettruyenin.com/truyen-tranh/muon-giai-cuu-the-gioi-thi-can-that-nhieu-su-dang-yeu-441880,1.763.182,3.8,2807,26.991,795,Chapter 77
174,SUPER CUB,https://www.nettruyenin.com/truyen-tranh/super-cub-219920,255.770,3.9,338,2.657,286,Chapter 36.5
175,MACHIKADO MAZOKU,https://www.nettruyenin.com/truyen-tranh/machikado-mazoku-279440,33.172,4,75,946,48,Chapter 12
176,LỜI CẦU HÔN CỦA NHÂN VẬT PHẢN DIỆN,https://www.nettruyenin.com/truyen-tranh/loi-cau-hon-cua-nhan-vat-phan-dien-66964,31.154,3.6,102,4.012,25,Chapter 5
177,CHÀO MỪNG ĐẾN VỚI LỚP HỌC THƯỢNG ĐẲNG,https://www.nettruyenin.com/truyen-tranh/chao-mung-den-voi-lop-hoc-thuong-dang-121022,1.703.032,4,2225,13.013,1.794,Chapter 36
178,"TENSAI OUJI NO AKAJI KOKKA SAISEI JUTSU - SOUDA, BAIKOKU SHIYOU",https://www.nettruyenin.com/truyen-tranh/tensai-ouji-no-akaji-kokka-saisei-jutsu-souda-baikoku-shiyou-259540,898.449,3.7,1325,18.918,673,Chapter 32
179,A STORY ABOUT A DROID,https://www.nettruyenin.com/truyen-tranh/a-story-about-a-droid-260920,365.223,3.8,470,4.645,441,Chapter 25
180,THÁM TỬ SIÊU NĂNG LỰC,https://www.nettruyenin.com/truyen-tranh/tham-tu-sieu-nang-luc-67777,16.466,3.6,57,2.456,60,Chapter 3
181,ÁC LONG HUYỀN THOẠI BỊ PHONG ẤN 300 NĂM ĐÃ TRỞ THÀNH BẠN CỦA TÔI,https://www.nettruyenin.com/truyen-tranh/ac-long-huyen-thoai-bi-phong-an-300-nam-da-tro-thanh-ban-cua-toi-274650,536.310,3.5,678,8.672,557,Chapter 16
182,LÂY NHIỄM,https://www.nettruyenin.com/truyen-tranh/lay-nhiem-234990,2.496.966,3.5,2825,13.028,1.714,Chapter 72
183,QUÁI VẬT KHÔNG TÊN,https://www.nettruyenin.com/truyen-tranh/quai-vat-khong-ten-251971,1.499.941,4.1,1885,17.043,1.602,Chapter 35
184,A STORY ABOUT A VERY ORDINARY COUPLE,https://www.nettruyenin.com/truyen-tranh/a-story-about-a-very-ordinary-couple-64080,367.483,3.7,451,5.920,515,Chapter 13
185,TÁI SINH THÀNH HẦU GÁI VÔ ĐỐI,https://www.nettruyenin.com/truyen-tranh/tai-sinh-thanh-hau-gai-vo-doi-225490,253.546,4.5,536,6.043,302,Chapter 8
186,DENDROBATES,https://www.nettruyenin.com/truyen-tranh/dendrobates-45390,847.730,3.8,922,3.716,239,Chapter 54
187,CÓ KÌ LẠ KHÔNG KHI TÔI TRỞ THÀNH MẠO HIỂM GIẢ DÙ TÔI TỐT NGHIỆP TRƯỜNG PHÙ THỦY?,https://www.nettruyenin.com/truyen-tranh/co-ki-la-khong-khi-toi-tro-thanh-mao-hiem-gia-du-toi-tot-nghiep-truong-phu-thuy-67553,24.658,3.5,59,2.196,80,Chapter 3
188,VÙNG ĐẤT CỦA CHIẾN BINH BẢO NGỌC,https://www.nettruyenin.com/truyen-tranh/vung-dat-cua-chien-binh-bao-ngoc-175830,475.440,4.1,645,2.302,381,Chapter 98
189,MITSUISHI-SAN WA DOKO KA OKASHII,https://www.nettruyenin.com/truyen-tranh/mitsuishi-san-wa-doko-ka-okashii-63066,352.517,3.7,476,6.185,353,Chapter 22
190,CON QUỶ NGU NGỐC DÁM NHỜN VỚI CÁC CHỊ THIÊN THẦN,https://www.nettruyenin.com/truyen-tranh/con-quy-ngu-ngoc-dam-nhon-voi-cac-chi-thien-than-179180,1.551.111,3.8,2051,19.937,1.749,Chapter 59
191,SÂN CỎ CHIẾN KÍ,https://www.nettruyenin.com/truyen-tranh/san-co-chien-ki-531790,599.799,3.5,715,7.499,264,Chapter 51
192,CÁC DỰ ÁN THẦN TƯỢNG TRƯỜNG,https://www.nettruyenin.com/truyen-tranh/cac-du-an-than-tuong-truong-93510,66.912,3.9,100,566,59,Chapter 45
193,NGƯƠI THỰC SỰ LÀ THIÊN TÀI,https://www.nettruyenin.com/truyen-tranh/nguoi-thuc-su-la-thien-tai-602040,191.778,3.5,285,7.682,400,Chapter 15
194,BỊ BẮT TRỞ THÀNH VÔ ĐỊCH THÁNH NỮ,https://www.nettruyenin.com/truyen-tranh/bi-bat-tro-thanh-vo-dich-thanh-nu-61431,287.417,4.7,1177,5.170,534,Chapter 35
195,TENOHIRA SIZE,https://www.nettruyenin.com/truyen-tranh/tenohira-size-106480,3.906,4,13,258,9,Chapter 8: (END)
196,PHƯƠNG PHÁP NGĂN BẠO CHÚA HẮC HOÁ,https://www.nettruyenin.com/truyen-tranh/phuong-phap-ngan-bao-chua-hac-hoa-544464,954.615,3.7,1348,25.208,252,Chapter 38
197,MADE IN ABYSS,https://www.nettruyenin.com/truyen-tranh/made-in-abyss-169100,537.887,4.2,666,3.772,313,Chapter 52: Lời hứa của Faputa.
198,JIMI NA KENSEI WA SORE DEMO SAIKYOU DESU,https://www.nettruyenin.com/truyen-tranh/jimi-na-kensei-wa-sore-demo-saikyou-desu-208150,2.856.687,3.5,3337,21.941,2.480,Chapter 37
199,NGÔI NHÀ KẾT NỐI VỚI HẦM NGỤC,https://www.nettruyenin.com/truyen-tranh/ngoi-nha-ket-noi-voi-ham-nguc-447821,1.657.447,3.5,2201,30.274,783,Chapter 49.5
200,ĐẾ CHẾ DIỆT VONG,https://www.nettruyenin.com/truyen-tranh/de-che-diet-vong-22246,1.764.732,3.6,2208,20.003,2.543,Chapter 30.5
201,"YATARATO SASSHI NO II ORE WA, DOKUZETSU KUUDERE BISHOUJO NO CHIISANA DERE MO MINOGASAZU NI GUIGUI IK",https://www.nettruyenin.com/truyen-tranh/yatarato-sasshi-no-ii-ore-wa-dokuzetsu-kuudere-bishoujo-no-chiisana-dere-mo-minogasazu-ni-guigui-ik-535110,232.400,4,408,10.997,449,Chapter 7
202,JOSOU SHITE MENDOUKUSAI KOTO NI NATTERU NEKURA TO YANKEE NO RYOU KATAOMOI,https://www.nettruyenin.com/truyen-tranh/josou-shite-mendoukusai-koto-ni-natteru-nekura-to-yankee-no-ryou-kataomoi-210580,41.232,3.9,62,848,199,Chapter 7
203,CUỘC TÌNH CÀ RỐT,https://www.nettruyenin.com/truyen-tranh/cuoc-tinh-ca-rot-15589,88.629,4.3,117,1.612,52,Chapter 14
204,HÀNH TRÌNH TÌM KIẾM ENCORE,https://www.nettruyenin.com/truyen-tranh/hanh-trinh-tim-kiem-encore-11348,2.034.491,3.6,2324,15.320,683,Chapter 49
205,TRUY TÌM NGỌC RỒNG SIÊU CẤP,https://www.nettruyenin.com/truyen-tranh/truy-tim-ngoc-rong-sieu-cap-99590,7.105.281,4.2,7983,17.241,2.150,Chapter 87
206,CÔ GÁI BẤT TỬ VÀ KHẾ ƯỚC VỚI ÁC MA,https://www.nettruyenin.com/truyen-tranh/co-gai-bat-tu-va-khe-uoc-voi-ac-ma-223790,134.720,4.3,210,3.573,233,Chapter 8
207,HITORIBOCCHI NO ISEKAI KOURYAKU,https://www.nettruyenin.com/truyen-tranh/hitoribocchi-no-isekai-kouryaku-225010,4.476.607,3.7,5323,36.414,2.826,Chapter 67
208,OOKAMI TO KOUSHINRYOU,https://www.nettruyenin.com/truyen-tranh/ookami-to-koushinryou-112470,527.594,3.5,740,7.930,452,Chapter 100
209,CÔNG NƯƠNG MINT BÉ NHỎ,https://www.nettruyenin.com/truyen-tranh/cong-nuong-mint-be-nho-65442,619.465,3.5,835,14.138,633,Chapter 36
210,SIÊU THẦN HẸN HÒ CÙNG HOA KHÔI,https://www.nettruyenin.com/truyen-tranh/sieu-than-hen-ho-cung-hoa-khoi-517000,2.284.671,3.8,2909,36.927,2.701,Chapter 46
211,HOÀNG HẬU TÁI HÔN,https://www.nettruyenin.com/truyen-tranh/hoang-hau-tai-hon-279622,22.311.632,4.3,25449,115.424,16.315,Chapter 122
212,"SAU KHI NHẶT ĐƯỢC TRỨNG RỒNG, TA QUYẾT ĐỊNH NUÔI HẮN TRỞ NÊN XẤU XA",https://www.nettruyenin.com/truyen-tranh/sau-khi-nhat-duoc-trung-rong-ta-quyet-dinh-nuoi-han-tro-nen-xau-xa-67514,75.030,3.5,181,5.877,102,Chapter 5
213,CHUYỆN TÌNH ZED X SYNDRA PHẦN 4,https://www.nettruyenin.com/truyen-tranh/chuyen-tinh-zed-x-syndra-phan-4-196520,361.162,3.6,477,2.706,373,Chapter 25: END
214,"NHỮNG ĐÓA SƠN TRÀ KIA, SẼ VÌ EM MÀ ĐƠM HOA KHOE SẮC",https://www.nettruyenin.com/truyen-tranh/nhung-doa-son-tra-kia-se-vi-em-ma-dom-hoa-khoe-sac-96720,2.774.971,4.5,3166,7.871,864,Chapter 77.4: (Hết)
215,THIÊN TÀI STREAM GAME,https://www.nettruyenin.com/truyen-tranh/thien-tai-stream-game-65233,93.038,3.6,178,7.469,343,Chapter 8
216,CUỘC HÔN NHÂN HOÀN HẢO,https://www.nettruyenin.com/truyen-tranh/cuoc-hon-nhan-hoan-hao-684991,736.727,3.5,794,4.963,218,Chapter 64
217,SHISHUNKI-CHAN NO SHITSUKEKATA,https://www.nettruyenin.com/truyen-tranh/shishunki-chan-no-shitsukekata-216930,1.537.875,3.5,1929,16.510,1.147,Chapter 20
218,QUAY VỀ QUÁ KHỨ MỞ TIỆM BÁNH KẸO,https://www.nettruyenin.com/truyen-tranh/quay-ve-qua-khu-mo-tiem-banh-keo-68506,107.153,4,143,2.886,66,Chapter 16.2
219,KHI ĐÓA HOA SẪM MÀU NỞ RỘ,https://www.nettruyenin.com/truyen-tranh/khi-doa-hoa-sam-mau-no-ro-458820,22.617,3.5,37,1.010,40,Chapter 15
220,VŨ KHÍ TỐI THƯỢNG CỦA ĐẾ QUỐC TỚI HỌC VIỆN LÀM HỌC VIÊN BÌNH THƯỜNG,https://www.nettruyenin.com/truyen-tranh/vu-khi-toi-thuong-cua-de-quoc-toi-hoc-vien-lam-hoc-vien-binh-thuong-68459,9.573,3.9,23,1.829,49,Chapter 1
221,BÚT DANH BÍ MẬT CỦA NỮ CÔNG TƯỚC,https://www.nettruyenin.com/truyen-tranh/but-danh-bi-mat-cua-nu-cong-tuoc-67890,107.269,3.5,182,4.595,119,Chapter 20
222,SUCCUBUS IINCHOU NI OKOTOWARI SA REMASHITE,https://www.nettruyenin.com/truyen-tranh/succubus-iinchou-ni-okotowari-sa-remashite-568540,138.820,3.5,236,3.968,238,Chapter 13
223,LIÊN HÔN PHỤC THÙ,https://www.nettruyenin.com/truyen-tranh/lien-hon-phuc-thu-67089,122.946,3.8,186,5.507,100,Chapter 10
224,HOÀNG HẬU ÁC NỮ YÊU QUÝ TÔI,https://www.nettruyenin.com/truyen-tranh/hoang-hau-ac-nu-yeu-quy-toi-65395,469.168,3.7,686,16.401,341,Chapter 20
225,CÔNG CHÚA LOTTO,https://www.nettruyenin.com/truyen-tranh/cong-chua-lotto-68454,100.599,3.9,169,5.063,70,Chapter 16
226,AMANO MEGUMI WA SUKI DARAKE!,https://www.nettruyenin.com/truyen-tranh/amano-megumi-wa-suki-darake-164640,809.147,3.5,981,6.911,517,Chapter 75
227,LẦN ĐẦU KẾT HÔN,https://www.nettruyenin.com/truyen-tranh/lan-dau-ket-hon-68417,11.526,4.1,38,1.842,20,Chapter 3
228,CÁCH BẢO VỆ ANH TRAI CỦA NỮ CHÍNH,https://www.nettruyenin.com/truyen-tranh/cach-bao-ve-anh-trai-cua-nu-chinh-376004,12.383.623,4.3,17297,138.448,6.557,Chapter 43
229,MA LÂM THIÊN HẠ,https://www.nettruyenin.com/truyen-tranh/ma-lam-thien-ha-68036,318.664,3.5,521,17.016,422,Chapter 11
230,UCHI KYABA: OIE DE KYABAKURA SHITE NIICHAN O ONNANOKO NI NARE SASEYOU DAI SAKUSEN,https://www.nettruyenin.com/truyen-tranh/uchi-kyaba-oie-de-kyabakura-shite-niichan-o-onnanoko-ni-nare-saseyou-dai-sakusen-63435,69.933,3.5,131,3.460,267,Chapter 6
231,CUỘC SỐNG THONG DONG Ở DỊ THẾ GIỚI,https://www.nettruyenin.com/truyen-tranh/cuoc-song-thong-dong-o-di-the-gioi-174520,9.558.730,3.7,10656,37.699,4.237,Chapter 135
232,MÙA ĐÔNG TĂM TỐI,https://www.nettruyenin.com/truyen-tranh/mua-dong-tam-toi-233840,2.437.172,3.9,2867,16.666,1.023,Chapter 124
233,SHIOTA-SENSEI TO AMAI-CHAN,https://www.nettruyenin.com/truyen-tranh/shiota-sensei-to-amai-chan-126110,91.417,3.6,109,1.229,64,Chapter 12: Đi biển
234,ISEKAI DEMO BUNAN NI IKITAI SHOUKOUGUN,https://www.nettruyenin.com/truyen-tranh/isekai-demo-bunan-ni-ikitai-shoukougun-214020,1.701.457,3.7,2248,24.325,1.641,Chapter 29.1
235,JIKAN TEISHI YUUSHA,https://www.nettruyenin.com/truyen-tranh/jikan-teishi-yuusha-278650,1.229.183,3.7,1490,16.635,1.122,Chapter 28
236,HÀNH TINH QUÁI VẬT,https://www.nettruyenin.com/truyen-tranh/hanh-tinh-quai-vat-68114,37.514,3.5,82,3.164,87,Chapter 7
237,FURUYA-SENSEI WA AN-CHAN NO MONO,https://www.nettruyenin.com/truyen-tranh/furuya-sensei-wa-an-chan-no-mono-367950,140.360,3.5,201,2.134,61,Chapter 23
238,CHỦ NHÂN CÔ NHI VIỆN MUỐN NGHỈ NGƠI,https://www.nettruyenin.com/truyen-tranh/chu-nhan-co-nhi-vien-muon-nghi-ngoi-644880,1.526.106,3.5,2079,30.935,1.051,Chapter 44
239,KIẾP NÀY CŨNG XIN CHĂM SÓC TÔI NHƯ VẬY NHÉ,https://www.nettruyenin.com/truyen-tranh/kiep-nay-cung-xin-cham-soc-toi-nhu-vay-nhe-310430,1.398.831,3.8,1741,13.376,477,Chapter 105
240,NGƯỜI CHỮA LÀNH RẮC RỐI,https://www.nettruyenin.com/truyen-tranh/nguoi-chua-lanh-rac-roi-27748,67.675,3.6,104,2.246,281,Chapter 14: Chăm bệnh
241,KIRARA FANTASIA,https://www.nettruyenin.com/truyen-tranh/kirara-fantasia-593600,4.479,3.7,30,705,32,Chapter 5
242,CHẠM VÀO TIM EM,https://www.nettruyenin.com/truyen-tranh/cham-vao-tim-em-552197,76.627,3.5,169,3.784,35,Chapter 33
243,MA CÀ RỒNG LÀM VIỆC BÁN THỜI GIAN!,https://www.nettruyenin.com/truyen-tranh/ma-ca-rong-lam-viec-ban-thoi-gian-66243,52.683,3.5,103,3.030,99,Chapter 6
244,"ĐỂ EM NGỦ CÙNG ANH NHA, HARUOMI!",https://www.nettruyenin.com/truyen-tranh/de-em-ngu-cung-anh-nha-haruomi-294260,N/A,3.9,4670,10.922,1.966,Chapter 21.2
245,TU CHÂN NÓI CHUYỆN PHIẾM QUẦN,https://www.nettruyenin.com/truyen-tranh/tu-chan-noi-chuyen-phiem-quan-175160,38.552.594,3.6,41231,63.864,10.836,Chapter 402
246,NHÂN VẬT PHẢN DIỆN? CHẮC CHẮN KHÔNG PHẢI TA,https://www.nettruyenin.com/truyen-tranh/nhan-vat-phan-dien-chac-chan-khong-phai-ta-64327,1.034.212,3.5,1364,23.619,1.295,Chapter 29
247,DÂY XÍCH KIỀM CHẾ NAM CHÍNH HẮC ÁM TUỘT MẤT RỒI,https://www.nettruyenin.com/truyen-tranh/day-xich-kiem-che-nam-chinh-hac-am-tuot-mat-roi-515800,3.149.959,3.7,4188,61.040,950,Chapter 46
248,AROMA-CHAN WA KONYA MO HAZUKASHII,https://www.nettruyenin.com/truyen-tranh/aroma-chan-wa-konya-mo-hazukashii-261740,210.144,3.5,340,6.983,291,Chapter 15: - Karaoke Với Mọi Người
249,"HAZURE SKILL “GACHA” DE TSUIHOU SARETA ORE WA, WAGAMAMA OSANANAJIMI WO ZETSUEN SHI KAKUSEI SURU",https://www.nettruyenin.com/truyen-tranh/hazure-skill-gacha-de-tsuihou-sareta-ore-wa-wagamama-osananajimi-wo-zetsuen-shi-kakusei-suru-66824,133.271,3.5,217,7.338,318,Chapter 2.3
250,OUJO DENKA WA OIKARI NO YOU,https://www.nettruyenin.com/truyen-tranh/oujo-denka-wa-oikari-no-you-250070,345.786,3.5,500,6.153,307,Chapter 19
251,KẺ THÁCH ĐẤU,https://www.nettruyenin.com/truyen-tranh/ke-thach-dau-485780,1.969.615,3.5,2444,36.248,2.201,Chapter 52.5
252,CHÀNG BĂNG GIÁ VÀ NÀNG LẠNH LÙNG,https://www.nettruyenin.com/truyen-tranh/chang-bang-gia-va-nang-lanh-lung-221000,883.942,3.7,1106,10.519,453,Chapter 47
253,BILLION DOGS,https://www.nettruyenin.com/truyen-tranh/billion-dogs-63210,151.391,3.7,162,746,43,Chapter 49
254,GOBLIN SLAYER GAIDEN: YEAR ONE,https://www.nettruyenin.com/truyen-tranh/goblin-slayer-gaiden-year-one-172650,2.063.613,3.9,2339,11.406,1.039,Chapter 49
255,WITCH AND FAMILIAR,https://www.nettruyenin.com/truyen-tranh/witch-and-familiar-65333,8.067,4.3,34,1.444,59,Chapter 3
256,AMACHIN WA JISHOU ♂,https://www.nettruyenin.com/truyen-tranh/amachin-wa-jishou-200750,694.342,3.7,917,9.409,1.627,Chapter 20
257,TONARI NO NOBUKUNI-SAN WA ORE NO KOTO GA SUKINA KI GA SURU,https://www.nettruyenin.com/truyen-tranh/tonari-no-nobukuni-san-wa-ore-no-koto-ga-sukina-ki-ga-suru-65616,87.742,3.5,123,2.693,83,Chapter 15
258,TENJOU TENGE,https://www.nettruyenin.com/truyen-tranh/tenjou-tenge-43965,177.694,3.5,206,1.359,56,Chapter 70
259,CHUYỂN SINH CÙNG BÀ CHỊ ĐẤM PHÁT CHẾT LUÔN,https://www.nettruyenin.com/truyen-tranh/chuyen-sinh-cung-ba-chi-dam-phat-chet-luon-284140,121.288,3.7,223,6.186,297,Chapter 6
260,THÂN THỦ ĐỆ NHẤT KIẾM,https://www.nettruyenin.com/truyen-tranh/than-thu-de-nhat-kiem-370864,3.431.230,3.5,3975,25.344,855,Chapter 100
261,TÌNH BẠN GIỮA CÔNG TƯỚC VÀ HẦU TƯỚC KHÔNG HỀ TỒN TẠI,https://www.nettruyenin.com/truyen-tranh/tinh-ban-giua-cong-tuoc-va-hau-tuoc-khong-he-ton-tai-68712,24.240,3.6,74,2.565,32,Chapter 5
262,GÃ CẦU THỦ LẠC LỐI,https://www.nettruyenin.com/truyen-tranh/ga-cau-thu-lac-loi-63490,301.885,3.5,330,2.048,128,Chapter 47: Đến với đất nước của bóng đá
263,MABARAI-SAN CỐ GẮNG SĂN TÔI!,https://www.nettruyenin.com/truyen-tranh/mabarai-san-co-gang-san-toi-62493,205.222,3.5,333,6.702,362,Chapter 16
264,KỴ SĨ BÁO THÙ,https://www.nettruyenin.com/truyen-tranh/ky-si-bao-thu-546620,660.089,3.8,861,9.877,545,Chapter 84
265,"NEE, MOU ISSO TSUKIACCHAU? OSANANAJIMI NO BISHOUJO NI TANOMARETE, CAMO KARESHI HAJIMEMASHITA",https://www.nettruyenin.com/truyen-tranh/nee-mou-isso-tsukiacchau-osananajimi-no-bishoujo-ni-tanomarete-camo-kareshi-hajimemashita-67840,86.344,3.5,126,3.857,166,Chapter 9
266,TRƯỚC KIA CÓ TÒA LINH KIẾM SƠN,https://www.nettruyenin.com/truyen-tranh/truoc-kia-co-toa-linh-kiem-son-46480,31.530.278,3.5,33470,34.159,4.980,Chapter 586
267,SUNOHARASOU NO KANRININ-SAN,https://www.nettruyenin.com/truyen-tranh/sunoharasou-no-kanrinin-san-258310,669.332,3.5,936,8.403,225,Chapter 60
268,ÁC NỮ PHẢN DIỆN ĐÃ CHỌN NAM CHÍNH,https://www.nettruyenin.com/truyen-tranh/ac-nu-phan-dien-da-chon-nam-chinh-65552,447.500,3.5,673,13.319,422,Chapter 33
269,NÀNG CÔNG CHÚA ẤY ĐÃ TRỞ THÀNH MỘT ĐOÁ HOA ĐIÊN DẠI,https://www.nettruyenin.com/truyen-tranh/nang-cong-chua-ay-da-tro-thanh-mot-doa-hoa-dien-dai-648020,234.137,3.5,484,13.329,241,Chapter 20
270,RADIATION HOUSE,https://www.nettruyenin.com/truyen-tranh/radiation-house-234100,651.414,3.8,741,4.441,244,Chapter 80: - Dòng máu phục sinh (6)
271,XÂM LƯỢC VẠN GIỚI,https://www.nettruyenin.com/truyen-tranh/xam-luoc-van-gioi-370660,3.663.139,3.5,4462,32.538,1.769,Chapter 99
